,Movement,Time_in,timesfm,timesfm-q-0.1,timesfm-q-0.2,timesfm-q-0.3,timesfm-q-0.4,timesfm-q-0.5,timesfm-q-0.6,timesfm-q-0.7,timesfm-q-0.8,timesfm-q-0.9
0,EBL,2023-04-06 00:00:00-04:00,0.0064289994,0.0,0.0,0.0026615472,0.0024990067,0.0064289994,0.010987054,0.014471035,0.023805179,0.030428387
1,EBL,2023-04-06 00:15:00-04:00,0.006021325,0.0,0.00469481,0.0036608097,0.006000469,0.006021325,0.01577822,0.015575636,0.015412398,0.028275046
2,EBL,2023-04-06 00:30:00-04:00,0.010966946,0.0,0.0,0.0013583493,0.0074211317,0.010966946,0.017198496,0.010703852,0.01679463,0.031579994
3,EBL,2023-04-06 00:45:00-04:00,0.004726234,0.0,0.0,0.0,0.00018150266,0.004726234,0.010789781,0.014364195,0.011105778,0.026577383
4,EBL,2023-04-06 01:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.011548417,0.012443258,0.016385281,0.02977546
5,EBL,2023-04-06 01:15:00-04:00,0.0040561287,0.0,0.0,0.0,0.0038893125,0.0040561287,0.015488103,0.02288885,0.02762388,0.04390578
6,EBL,2023-04-06 01:30:00-04:00,0.011396786,0.0,0.0,0.0008895686,0.005261504,0.011396786,0.01870218,0.022346504,0.034519415,0.04933934
7,EBL,2023-04-06 01:45:00-04:00,0.012322251,0.0,0.002048723,0.0013895351,0.009853173,0.012322251,0.015457383,0.018572379,0.023058154,0.04202097
8,EBL,2023-04-06 02:00:00-04:00,0.0054114936,0.0,0.0019140206,0.0,0.003984547,0.0054114936,0.015327893,0.014868598,0.013211813,0.039948843
9,EBL,2023-04-06 02:15:00-04:00,0.017582012,0.004201356,0.006423188,0.010417126,0.01114866,0.017582012,0.016214123,0.01474474,0.019508375,0.03762456
10,EBL,2023-04-06 02:30:00-04:00,0.016273163,0.008505181,0.010375964,0.0075510056,0.01792898,0.016273163,0.019596199,0.016890902,0.022959119,0.04301221
11,EBL,2023-04-06 02:45:00-04:00,0.0067724865,0.0008015981,0.00080527924,0.004393503,0.007045213,0.0067724865,0.015799183,0.014270543,0.01984668,0.051057875
12,EBL,2023-04-06 03:00:00-04:00,0.010387992,0.0026907958,0.009002093,0.016244333,0.014070987,0.010387992,0.023038128,0.02717829,0.026808456,0.066016346
13,EBL,2023-04-06 03:15:00-04:00,0.014644381,0.0,0.006104153,0.003773544,0.016792122,0.014644381,0.022038251,0.017932292,0.022752512,0.075832196
14,EBL,2023-04-06 03:30:00-04:00,0.01734771,0.0,6.451609e-05,0.0021012514,0.011143292,0.01734771,0.021120632,0.018131185,0.032175332,0.079422675
15,EBL,2023-04-06 03:45:00-04:00,0.012565319,0.00036382023,0.0,0.003938078,0.015393032,0.012565319,0.017782487,0.015663518,0.02419279,0.077244915
16,EBL,2023-04-06 04:00:00-04:00,0.016992226,0.0,0.005923652,0.009907867,0.015704175,0.016992226,0.019459967,0.015329769,0.02692404,0.09191151
17,EBL,2023-04-06 04:15:00-04:00,0.014555283,0.0,0.008771628,0.009592924,0.0064639845,0.014555283,0.017757557,0.012773923,0.027808934,0.09606198
18,EBL,2023-04-06 04:30:00-04:00,0.014226588,0.0,0.0,0.006803577,0.012898937,0.014226588,0.024861092,0.021810485,0.030034497,0.11773796
19,EBL,2023-04-06 04:45:00-04:00,0.0076635177,0.0,0.004930866,0.0,0.00718084,0.0076635177,0.020940484,0.022176221,0.03416607,0.14592569
20,EBL,2023-04-06 05:00:00-04:00,0.009558397,0.0,0.0,0.003988935,0.004859325,0.009558397,0.013847117,0.009455769,0.02191433,0.13607205
21,EBL,2023-04-06 05:15:00-04:00,0.0022108718,0.0,0.0,0.0,0.0016514212,0.0022108718,0.010215808,0.01380977,0.007507932,0.141067
22,EBL,2023-04-06 05:30:00-04:00,0.008988727,0.0017486995,0.0009140807,0.0016119252,0.007936593,0.008988727,0.009905653,0.0087671485,0.015436445,0.16427857
23,EBL,2023-04-06 05:45:00-04:00,0.006871968,0.0,0.0,0.0038664306,0.0061336546,0.006871968,0.0064137913,0.007662759,0.008078981,0.16472459
24,EBL,2023-04-06 06:00:00-04:00,0.012615064,0.005131008,0.0016112201,0.002632433,0.007295485,0.012615064,0.007112229,0.008302791,0.019719113,0.21506377
25,EBL,2023-04-06 06:15:00-04:00,0.0072524245,0.0,0.002300396,0.003559018,0.0062170783,0.0072524245,0.011268524,0.003149323,0.015279843,0.25317076
26,EBL,2023-04-06 06:30:00-04:00,0.006366372,0.0,0.0010619244,0.002445803,0.0044110096,0.006366372,0.010237196,0.011267261,0.016540969,0.28155014
27,EBL,2023-04-06 06:45:00-04:00,0.013859951,0.0,0.01001513,0.0058116172,0.008888325,0.013859951,0.014952151,0.014090601,0.022709163,0.31715304
28,EBL,2023-04-06 07:00:00-04:00,0.008789952,0.0,0.005167687,0.0020136565,0.007432194,0.008789952,0.011238339,0.01732194,0.027727908,0.33591044
29,EBL,2023-04-06 07:15:00-04:00,0.010692874,0.0,0.0,0.0,0.009462606,0.010692874,0.0074301795,0.019331021,0.019314896,0.350651
30,EBL,2023-04-06 07:30:00-04:00,0.00668556,0.0,0.0,0.0,0.007865919,0.00668556,0.002857973,0.0118189445,0.024923116,0.36765903
31,EBL,2023-04-06 07:45:00-04:00,0.0131345615,0.0,0.0,0.004731202,0.004793676,0.0131345615,0.017092288,0.0143466005,0.028418615,0.39748698
32,EBL,2023-04-06 08:00:00-04:00,0.01137633,0.0,0.001602273,0.006143066,0.009215043,0.01137633,0.02472414,0.027653169,0.02853876,0.44093105
33,EBL,2023-04-06 08:15:00-04:00,0.0028385487,0.0,0.0,0.0,0.00050521235,0.0028385487,0.006405211,0.010317341,0.029976923,0.444822
34,EBL,2023-04-06 08:30:00-04:00,0.0031613098,0.0,0.0,0.0,0.0,0.0031613098,0.010288744,0.011163879,0.031124339,0.5029519
35,EBL,2023-04-06 08:45:00-04:00,0.006090716,0.0,0.0,0.0034901546,0.003537389,0.006090716,0.01090925,0.014332382,0.027935445,0.5092306
36,EBL,2023-04-06 09:00:00-04:00,0.015018067,0.0,0.0063613635,0.003903605,0.009460502,0.015018067,0.01610476,0.02304487,0.04317617,0.5332381
37,EBL,2023-04-06 09:15:00-04:00,0.019987738,0.0,0.0014783465,0.006533242,0.01564831,0.019987738,0.020014878,0.022176282,0.03737558,0.55566853
38,EBL,2023-04-06 09:30:00-04:00,0.0154470075,0.0,0.0,0.0096152825,0.015822962,0.0154470075,0.017458143,0.018947069,0.037410103,0.5691124
39,EBL,2023-04-06 09:45:00-04:00,0.015881658,0.0,0.0009574392,0.008474711,0.0039041874,0.015881658,0.01607534,0.020173047,0.041426282,0.60140365
40,EBL,2023-04-06 10:00:00-04:00,0.0173958,0.0,0.0016987973,0.0,0.00958258,0.0173958,0.012554457,0.02121654,0.03353641,0.6337711
41,EBL,2023-04-06 10:15:00-04:00,0.010172566,0.0,0.0,0.00092304766,0.0066381325,0.010172566,0.012861273,0.008655765,0.037416227,0.6432619
