unique_id,forecast_0,forecast_1,forecast_2,forecast_3,forecast_4,forecast_5,forecast_6,forecast_7,forecast_8,forecast_9,forecast_10,forecast_11,forecast_12,forecast_13,forecast_14,forecast_15,forecast_16,forecast_17,forecast_18,forecast_19,forecast_20,forecast_21,forecast_22,forecast_23,forecast_24,forecast_25,forecast_26,forecast_27,forecast_28,forecast_29,forecast_30,forecast_31,forecast_32,forecast_33,forecast_34,forecast_35,forecast_36,forecast_37,forecast_38,forecast_39,forecast_40,forecast_41,forecast_42,forecast_43,forecast_44,forecast_45,forecast_46,forecast_47,forecast_48,forecast_49,forecast_50,forecast_51,forecast_52,forecast_53,forecast_54,forecast_55,forecast_56,forecast_57,forecast_58,forecast_59,forecast_60,forecast_61,forecast_62,forecast_63,forecast_64,forecast_65,forecast_66,forecast_67,forecast_68,forecast_69,forecast_70,forecast_71,forecast_72,forecast_73,forecast_74,forecast_75,forecast_76,forecast_77,forecast_78,forecast_79,forecast_80,forecast_81,forecast_82,forecast_83,forecast_84,forecast_85,forecast_86,forecast_87,forecast_88,forecast_89,forecast_90,forecast_91,forecast_92,forecast_93,forecast_94,forecast_95,actual_0,actual_1,actual_2,actual_3,actual_4,actual_5,actual_6,actual_7,actual_8,actual_9,actual_10,actual_11,actual_12,actual_13,actual_14,actual_15,actual_16,actual_17,actual_18,actual_19,actual_20,actual_21,actual_22,actual_23,actual_24,actual_25,actual_26,actual_27,actual_28,actual_29,actual_30,actual_31,actual_32,actual_33,actual_34,actual_35,actual_36,actual_37,actual_38,actual_39,actual_40,actual_41,actual_42,actual_43,actual_44,actual_45,actual_46,actual_47,actual_48,actual_49,actual_50,actual_51,actual_52,actual_53,actual_54,actual_55,actual_56,actual_57,actual_58,actual_59,actual_60,actual_61,actual_62,actual_63,actual_64,actual_65,actual_66,actual_67,actual_68,actual_69,actual_70,actual_71,actual_72,actual_73,actual_74,actual_75,actual_76,actual_77,actual_78,actual_79,actual_80,actual_81,actual_82,actual_83,actual_84,actual_85,actual_86,actual_87,actual_88,actual_89,actual_90,actual_91,actual_92,actual_93,actual_94,actual_95
EBL,0.3009584,0.31203085,0.3154937,0.343049,0.093254685,0.09741193,0.10537338,0.10513723,0.044001162,0.044985175,0.04548794,0.035597682,-0.016603947,-0.013832629,0.00063562393,-0.0038328767,0.0055758953,0.00047534704,-0.012694657,-0.012601018,-0.08659989,-0.11812657,-0.12968397,-0.13947308,-0.32029903,-0.34895295,-0.39402032,-0.42446285,0.3264379,0.28634697,0.2638597,0.24390067,0.6345905,0.6346128,0.6455265,0.6471437,0.6686368,0.68145716,0.6896339,0.685009,0.5660522,0.5857473,0.59734637,0.6146095,0.56946236,0.588537,0.6251479,0.6339294,0.5677477,0.5847993,0.6050167,0.61379445,0.77060604,0.7856649,0.80446535,0.80323446,0.66379434,0.66398007,0.690003,0.6816839,0.25254053,0.25016892,0.24107009,0.24165308,-0.6914897,-0.7050836,-0.69730186,-0.69967866,-0.81279933,-0.8109975,-0.80363643,-0.80797076,-1.260359,-1.265662,-1.2607408,-1.2539306,-1.2002944,-1.1955283,-1.2024578,-1.2200214,-0.91137135,-0.9159374,-0.9288353,-0.9154918,-1.075925,-1.0822973,-1.0953711,-1.1017561,-1.2872239,-1.3109909,-1.304361,-1.3077245,-1.4023292,-1.3944132,-1.4062973,-1.4168856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBR,0.3009584,0.31203085,0.3154937,0.343049,0.093254685,0.09741193,0.10537338,0.10513723,0.044001162,0.044985175,0.04548794,0.035597682,-0.016603947,-0.013832629,0.00063562393,-0.0038328767,0.0055758953,0.00047534704,-0.012694657,-0.012601018,-0.08659989,-0.11812657,-0.12968397,-0.13947308,-0.32029903,-0.34895295,-0.39402032,-0.42446285,0.3264379,0.28634697,0.2638597,0.24390067,0.6345905,0.6346128,0.6455265,0.6471437,0.6686368,0.68145716,0.6896339,0.685009,0.5660522,0.5857473,0.59734637,0.6146095,0.56946236,0.588537,0.6251479,0.6339294,0.5677477,0.5847993,0.6050167,0.61379445,0.77060604,0.7856649,0.80446535,0.80323446,0.66379434,0.66398007,0.690003,0.6816839,0.25254053,0.25016892,0.24107009,0.24165308,-0.6914897,-0.7050836,-0.69730186,-0.69967866,-0.81279933,-0.8109975,-0.80363643,-0.80797076,-1.260359,-1.265662,-1.2607408,-1.2539306,-1.2002944,-1.1955283,-1.2024578,-1.2200214,-0.91137135,-0.9159374,-0.9288353,-0.9154918,-1.075925,-1.0822973,-1.0953711,-1.1017561,-1.2872239,-1.3109909,-1.304361,-1.3077245,-1.4023292,-1.3944132,-1.4062973,-1.4168856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBT,0.3009584,0.31203085,0.3154937,0.343049,0.093254685,0.09741193,0.10537338,0.10513723,0.044001162,0.044985175,0.04548794,0.035597682,-0.016603947,-0.013832629,0.00063562393,-0.0038328767,0.0055758953,0.00047534704,-0.012694657,-0.012601018,-0.08659989,-0.11812657,-0.12968397,-0.13947308,-0.32029903,-0.34895295,-0.39402032,-0.42446285,0.3264379,0.28634697,0.2638597,0.24390067,0.6345905,0.6346128,0.6455265,0.6471437,0.6686368,0.68145716,0.6896339,0.685009,0.5660522,0.5857473,0.59734637,0.6146095,0.56946236,0.588537,0.6251479,0.6339294,0.5677477,0.5847993,0.6050167,0.61379445,0.77060604,0.7856649,0.80446535,0.80323446,0.66379434,0.66398007,0.690003,0.6816839,0.25254053,0.25016892,0.24107009,0.24165308,-0.6914897,-0.7050836,-0.69730186,-0.69967866,-0.81279933,-0.8109975,-0.80363643,-0.80797076,-1.260359,-1.265662,-1.2607408,-1.2539306,-1.2002944,-1.1955283,-1.2024578,-1.2200214,-0.91137135,-0.9159374,-0.9288353,-0.9154918,-1.075925,-1.0822973,-1.0953711,-1.1017561,-1.2872239,-1.3109909,-1.304361,-1.3077245,-1.4023292,-1.3944132,-1.4062973,-1.4168856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBL,3.837575,3.5296087,3.5929728,3.94522,0.9217901,1.6332302,2.009431,2.2815285,1.2767172,1.2648058,1.2794619,1.0263481,0.17967987,0.09423447,0.025461197,-0.008185387,0.5448246,0.78862286,0.846859,0.86978626,-0.08602238,-0.4653883,-0.9735422,-1.5281143,-3.88418,-4.1862335,-4.1592712,-3.7669926,7.0914197,7.666425,7.9243965,8.231438,13.418811,13.472219,13.324615,13.207424,13.345547,13.230935,13.113698,13.056381,11.504225,11.639822,11.804279,11.736702,10.725441,10.289738,9.701168,9.1468525,7.605779,7.347655,7.4350567,7.778502,10.193009,10.894449,11.315125,11.535226,9.714966,9.735909,9.627456,9.462246,3.822856,3.6658134,3.6287127,3.739295,16.47248,15.97371,15.824351,15.806875,14.364603,13.46143,13.116466,13.121574,7.219814,7.20542,7.19426,7.158398,7.139142,6.7574067,6.8532925,6.9181933,11.192984,11.111289,11.272983,10.506953,8.592699,8.81745,9.001619,8.872984,6.537999,6.4987783,5.833535,5.51785,4.505743,4.6352158,4.6829605,4.709775,2.0,2.0,4.0,4.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,5.0,10.0,7.0,6.0,7.0,5.0,15.0,10.0,22.0,17.0,17.0,22.0,32.0,27.0,19.0,17.0,28.0,22.0,28.0,35.0,25.0,20.0,32.0,21.0,35.0,17.0,25.0,24.0,33.0,29.0,36.0,40.0,38.0,34.0,40.0,28.0,31.0,31.0,38.0,37.0,66.0,39.0,37.0,38.0,36.0,28.0,44.0,32.0,23.0,30.0,43.0,29.0,26.0,27.0,32.0,28.0,21.0,20.0,31.0,14.0,22.0,14.0,14.0,17.0,14.0,19.0,10.0,17.0,13.0
NBR,31.25063,32.257347,34.07411,35.23467,17.161606,19.653519,21.757908,23.413841,16.95382,16.212456,14.404762,13.2222595,8.723824,8.29908,7.902565,7.7665863,9.466087,8.676674,7.8813934,7.6726074,1.8041992,0.8663864,0.29427338,-0.415802,-12.073151,-11.930183,-10.019386,-7.244713,50.842827,52.71855,54.346436,56.10809,82.76988,82.372284,81.15559,80.972565,81.14993,79.95344,78.707596,78.324165,69.27715,68.95532,68.465935,67.225876,60.684036,59.41514,57.69921,56.98995,50.595245,51.29927,52.784527,53.814453,64.51553,66.40416,67.90561,68.91114,56.94094,57.04242,56.023468,54.509315,22.498917,21.958324,21.909515,22.111313,101.92908,102.34558,98.65885,105.34843,97.001656,98.82977,94.22853,98.33567,57.69423,58.523094,55.72319,67.14288,64.80892,64.380554,58.67333,63.98381,79.39896,80.868744,83.25616,90.58054,71.89384,71.197365,68.12818,73.133995,54.177017,61.084885,58.566372,62.23967,47.017963,47.50035,42.688076,48.33123,1.0,4.0,3.0,5.0,4.0,5.0,1.0,1.0,5.0,6.0,5.0,4.0,2.0,3.0,4.0,0.0,6.0,2.0,4.0,3.0,4.0,8.0,8.0,16.0,5.0,16.0,38.0,44.0,57.0,66.0,75.0,99.0,77.0,121.0,116.0,127.0,101.0,135.0,103.0,128.0,111.0,130.0,110.0,125.0,122.0,155.0,123.0,145.0,135.0,168.0,137.0,143.0,122.0,148.0,130.0,159.0,130.0,165.0,152.0,171.0,167.0,185.0,149.0,193.0,173.0,219.0,126.0,217.0,149.0,189.0,163.0,173.0,157.0,194.0,155.0,132.0,122.0,151.0,128.0,128.0,109.0,109.0,101.0,98.0,92.0,90.0,95.0,92.0,97.0,73.0,49.0,47.0,55.0,49.0,44.0,42.0
NBT,12.451212,12.4596195,12.389364,12.365311,5.7174644,5.9497776,6.3851395,6.6788063,4.5660515,4.308502,4.1141815,3.5678043,2.1764183,2.3136826,2.2038994,2.006775,2.8065147,2.8744335,2.7858067,2.9575024,1.7484913,1.839756,1.8412151,1.8136063,-1.6192341,-1.6930733,-1.6553402,-1.4158478,17.113495,17.203384,17.380266,17.738674,26.27766,26.11115,25.93597,25.833572,26.116985,25.93676,25.818888,25.557669,22.490898,22.574287,22.738365,22.857452,21.323618,21.378983,21.206352,21.142277,19.387714,19.590895,19.574772,19.506645,22.592695,22.594696,22.896515,23.21297,19.771305,19.66486,19.314173,18.974125,8.51133,8.328369,8.283346,8.321844,37.686737,36.105953,35.033035,34.551495,32.674137,31.807909,30.549814,30.079561,19.464462,18.902773,18.440159,19.683647,20.463314,19.456522,18.891228,19.15335,26.163916,25.834393,27.016363,26.886133,22.702732,22.251085,22.654303,22.04344,17.471874,18.328648,18.14549,17.27378,14.449393,14.548854,14.004267,13.849886,4.0,5.0,6.0,1.0,5.0,2.0,4.0,2.0,3.0,1.0,4.0,6.0,2.0,2.0,1.0,0.0,1.0,0.0,4.0,4.0,0.0,2.0,6.0,8.0,4.0,8.0,15.0,17.0,13.0,16.0,34.0,34.0,38.0,48.0,44.0,49.0,41.0,63.0,43.0,53.0,38.0,26.0,48.0,50.0,53.0,54.0,48.0,58.0,61.0,62.0,33.0,68.0,53.0,55.0,56.0,52.0,48.0,56.0,46.0,70.0,52.0,62.0,56.0,61.0,81.0,87.0,73.0,86.0,87.0,104.0,65.0,85.0,61.0,69.0,62.0,40.0,46.0,60.0,51.0,43.0,37.0,54.0,40.0,30.0,28.0,33.0,29.0,14.0,27.0,21.0,17.0,24.0,17.0,18.0,15.0,8.0
SBL,0.338408,0.33004886,0.30893472,0.25974438,0.085602194,0.1438024,0.16325092,0.13550651,0.052930683,0.03931272,0.0047903657,0.021335602,0.041160375,0.060815305,0.025652945,0.010398686,0.035827458,0.016246587,0.04749161,0.090834916,0.054470956,0.008723557,0.01050517,0.0020433664,-0.12922907,-0.12796026,-0.07416922,-0.066951334,0.4881199,0.47554067,0.45583484,0.4166543,0.7184187,0.7865517,0.80201185,0.7487674,0.7572038,0.75019073,0.68933964,0.705928,0.68481606,0.67969316,0.6686349,0.6744681,0.6150906,0.57570225,0.5911138,0.64589095,0.5976713,0.5600036,0.5463022,0.5374126,0.578976,0.59949696,0.6832411,0.6844361,0.5246381,0.5356693,0.52717125,0.46598616,0.1663146,0.21617496,0.21842128,0.19091502,0.30394694,0.28803277,0.37109983,0.32656,0.30422664,0.2530567,0.23982966,0.21560168,-0.056745827,-0.045589805,-0.033566713,-0.06312621,-0.019942224,-0.054101348,-0.037349284,-0.017470717,0.2516667,0.23102796,0.26752457,0.2310175,0.11687288,0.098405,0.13888747,0.14384925,0.025970161,0.0011030436,0.004682958,-0.03455484,-0.09669107,-0.07020366,-0.046563566,-0.05357182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0
SBR,8.823994,8.847711,8.972577,9.01369,3.6539612,3.9978352,4.5187073,5.1103134,3.4577465,3.0990696,2.8540592,2.613554,1.568428,1.6396179,1.5957355,1.6840286,2.1590939,2.0661373,2.0340843,1.9305038,0.75585175,0.52456665,0.48774338,0.19046593,-2.944769,-2.9305344,-2.5718575,-2.1875038,13.652224,13.86748,14.275197,14.635161,22.016167,21.873207,21.622904,21.622139,21.656025,21.39924,21.223639,21.213724,18.887115,18.711824,18.871178,18.36609,16.6874,16.44079,16.071598,15.777852,13.969123,13.834467,13.899197,13.6007395,16.333242,16.531075,16.922583,17.079838,13.843288,13.751961,13.481875,12.913831,4.279709,4.0729885,4.2071953,4.415037,27.134695,27.558443,26.242777,26.052149,25.968128,25.160769,23.882074,23.91563,15.447638,14.259382,14.001836,16.048388,16.401232,15.412711,14.925874,15.182371,20.455013,20.537918,22.219063,21.889465,18.088213,17.61535,17.600319,16.636963,12.953578,14.603541,13.872029,12.682166,10.462839,10.744305,9.760156,9.752668,5.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,5.0,13.0,9.0,13.0,12.0,34.0,40.0,51.0,33.0,36.0,31.0,33.0,39.0,36.0,41.0,29.0,35.0,43.0,46.0,47.0,37.0,55.0,39.0,42.0,50.0,77.0,41.0,65.0,46.0,54.0,40.0,46.0,53.0,76.0,51.0,61.0,56.0,68.0,58.0,74.0,44.0,70.0,71.0,60.0,37.0,62.0,62.0,70.0,51.0,41.0,58.0,65.0,51.0,36.0,51.0,47.0,38.0,51.0,47.0,44.0,27.0,30.0,21.0,25.0,16.0,18.0,16.0,15.0,15.0,17.0
SBT,0.6588559,0.67625767,0.73260856,0.7475689,0.39897943,0.38362288,0.3714999,0.37499166,0.24454045,0.20005059,0.20128906,0.15689027,0.12320602,0.16059625,0.12514019,0.09242308,0.14565682,0.1940484,0.18786418,0.15928519,0.12223101,0.09076393,0.14203691,0.13718367,0.010807633,-0.034100413,0.033469915,0.02501893,0.95217717,0.91756135,0.94461966,0.9055263,1.365685,1.3936085,1.4156733,1.3730154,1.4053314,1.4228777,1.3654867,1.3427906,1.2094038,1.1708319,1.2060649,1.1814386,1.1684171,1.1751996,1.1901209,1.17535,1.0803962,1.0371966,1.1143564,1.1320251,1.2756559,1.2220224,1.2369533,1.201971,1.0090413,1.0600314,1.0706868,1.011747,0.49979007,0.49816918,0.47120678,0.45815504,1.3922851,0.77124584,1.3999267,0.8366772,1.249251,0.79700315,1.2575592,0.81153893,0.6995528,0.2847147,0.65815425,0.2292763,0.6946435,0.32592404,0.6717528,0.29383337,1.0488251,0.684781,1.0468776,0.70451605,0.87962633,0.5442195,0.884034,0.566058,0.6737915,0.31721938,0.6995251,0.37680006,0.6033891,0.3063246,0.6305445,0.32688916,5.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,4.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,6.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
WBL,0.3009584,0.31203085,0.3154937,0.343049,0.093254685,0.09741193,0.10537338,0.10513723,0.044001162,0.044985175,0.04548794,0.035597682,-0.016603947,-0.013832629,0.00063562393,-0.0038328767,0.0055758953,0.00047534704,-0.012694657,-0.012601018,-0.08659989,-0.11812657,-0.12968397,-0.13947308,-0.32029903,-0.34895295,-0.39402032,-0.42446285,0.3264379,0.28634697,0.2638597,0.24390067,0.6345905,0.6346128,0.6455265,0.6471437,0.6686368,0.68145716,0.6896339,0.685009,0.5660522,0.5857473,0.59734637,0.6146095,0.56946236,0.588537,0.6251479,0.6339294,0.5677477,0.5847993,0.6050167,0.61379445,0.77060604,0.7856649,0.80446535,0.80323446,0.66379434,0.66398007,0.690003,0.6816839,0.25254053,0.25016892,0.24107009,0.24165308,-0.6914897,-0.7050836,-0.69730186,-0.69967866,-0.81279933,-0.8109975,-0.80363643,-0.80797076,-1.260359,-1.265662,-1.2607408,-1.2539306,-1.2002944,-1.1955283,-1.2024578,-1.2200214,-0.91137135,-0.9159374,-0.9288353,-0.9154918,-1.075925,-1.0822973,-1.0953711,-1.1017561,-1.2872239,-1.3109909,-1.304361,-1.3077245,-1.4023292,-1.3944132,-1.4062973,-1.4168856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
